time,open,high,low,close,volume
2018-02-22 10:00:00,1.22939,1.2298799999999999,1.22864,1.229,2324
2018-02-22 11:00:00,1.229,1.2294399999999999,1.228,1.2285700000000002,1734
2018-02-22 12:00:00,1.22856,1.2308299999999999,1.2269,1.22698,6636
2018-02-22 13:00:00,1.22704,1.23156,1.22648,1.23132,5759
2018-02-22 14:00:00,1.23132,1.2337200000000001,1.23054,1.2327299999999999,6051
2018-02-22 15:00:00,1.23268,1.23524,1.23164,1.2321799999999998,5209
2018-02-22 16:00:00,1.23223,1.2332,1.2314,1.23252,4014
2018-02-22 17:00:00,1.23256,1.23448,1.23243,1.23367,2336
2018-02-22 18:00:00,1.2336799999999999,1.23393,1.23197,1.23253,1754
2018-02-22 19:00:00,1.23254,1.23363,1.23232,1.23312,1395
2018-02-22 20:00:00,1.2331299999999998,1.23346,1.23193,1.2326,1297
2018-02-22 21:00:00,1.23264,1.23318,1.2322799999999998,1.23314,714
2018-02-22 22:00:00,1.23296,1.23338,1.23256,1.23307,683
2018-02-22 23:00:00,1.23306,1.23376,1.23248,1.23256,1488
2018-02-23 00:00:00,1.23259,1.23318,1.2321600000000001,1.2327,1305
2018-02-23 01:00:00,1.23264,1.23296,1.2316200000000002,1.2324899999999999,1407
2018-02-23 02:00:00,1.23252,1.23264,1.23112,1.2314200000000002,1552
2018-02-23 03:00:00,1.23143,1.23161,1.2302,1.23069,1487
2018-02-23 04:00:00,1.23068,1.23104,1.2295399999999999,1.23014,1288
2018-02-23 05:00:00,1.23017,1.2305700000000002,1.2296200000000002,1.2302600000000001,1083
2018-02-23 06:00:00,1.2302600000000001,1.23082,1.22882,1.2294200000000002,1566
2018-02-23 07:00:00,1.2294,1.2297,1.228,1.2295,2885
2018-02-23 08:00:00,1.2295200000000002,1.2321,1.22882,1.2317799999999999,3783
2018-02-23 09:00:00,1.2318200000000001,1.2320799999999998,1.2305,1.23078,2804
2018-02-23 10:00:00,1.23072,1.23176,1.22996,1.2301,2695
2018-02-23 11:00:00,1.23013,1.23079,1.22876,1.23065,2423
2018-02-23 12:00:00,1.23066,1.23128,1.2296799999999999,1.22981,2095
2018-02-23 13:00:00,1.2298,1.23058,1.22896,1.2298200000000001,2732
2018-02-23 14:00:00,1.22986,1.23066,1.22874,1.23038,2609
2018-02-23 15:00:00,1.23038,1.23186,1.229,1.23001,4090
2018-02-23 16:00:00,1.23,1.23042,1.22853,1.2297799999999999,3706
2018-02-23 17:00:00,1.22973,1.23082,1.22969,1.23063,1591
2018-02-23 18:00:00,1.23061,1.23061,1.229,1.2294399999999999,1150
2018-02-23 19:00:00,1.22949,1.22976,1.2289,1.22961,1134
2018-02-23 20:00:00,1.2296,1.23054,1.2294,1.22948,1610
2018-02-23 21:00:00,1.22946,1.22986,1.22878,1.22957,1620
2018-02-25 22:00:00,1.2295200000000002,1.22956,1.22854,1.2289,457
2018-02-25 23:00:00,1.2289,1.22956,1.22807,1.22884,1825
2018-02-26 00:00:00,1.2289,1.2293100000000001,1.22804,1.229,2118
